word_form,part_of_speech,lemgram,compound,raw_frequency,relative_frequency
Peter,NP,__UNDEF__,+,264,355.179567
table,NN,__UNDEF__,+,264,355.179567
though,IN,__UNDEF__,+,263,353.83419
help,VB,__UNDEF__,+,262,352.488813
mother,NN,__UNDEF__,+,261,351.143436
found,VBD,__UNDEF__,+,259,348.452682
herself,PRP,__UNDEF__,+,257,345.761927
almost,RB,__UNDEF__,+,256,344.41655
Do,VBP,__UNDEF__,+,255,343.071173
Akka,NP,__UNDEF__,+,254,341.725796
right,RB,__UNDEF__,+,254,341.725796
bed,NN,__UNDEF__,+,253,340.380419
three,Z,__UNDEF__,+,250,336.344287
left,VBN,__UNDEF__,+,250,336.344287
enough,RB,__UNDEF__,+,248,333.653533
lay,VBD,__UNDEF__,+,247,332.308156
Yes,RB,__UNDEF__,+,246,330.962779
else,RB,__UNDEF__,+,245,329.617402
between,IN,__UNDEF__,+,245,329.617402
hand,NN,__UNDEF__,+,242,325.58127
give,VB,__UNDEF__,+,237,318.854384
front,NN,__UNDEF__,+,237,318.854384
large,JJ,__UNDEF__,+,237,318.854384
story,NN,__UNDEF__,+,236,317.509007
white,JJ,__UNDEF__,+,236,317.509007
evening,NN,__UNDEF__,+,236,317.509007
already,RB,__UNDEF__,+,235,316.16363
that's,__UNDEF__,__UNDEF__,+,235,316.16363
sure,JJ,__UNDEF__,+,235,316.16363
ran,VBD,__UNDEF__,+,235,316.16363
air,NN,__UNDEF__,+,235,316.16363
why,WRB,__UNDEF__,+,234,314.818253
put,VBD,__UNDEF__,+,233,313.472876
able,JJ,__UNDEF__,+,233,313.472876
called,VBD,__UNDEF__,+,233,313.472876
both,DT,__UNDEF__,+,232,312.127499
Well,RB,__UNDEF__,+,232,312.127499
voice,NN,__UNDEF__,+,231,310.782122
Thorin,NP,__UNDEF__,+,230,309.436744
against,IN,__UNDEF__,+,230,309.436744
For,IN,__UNDEF__,+,229,308.091367
year,NN,__UNDEF__,+,228,306.74599
fire,NN,__UNDEF__,+,228,306.74599
in,__UNDEF__,__UNDEF__,+,228,306.74599
new,JJ,__UNDEF__,+,226,304.055236
done,VBN,__UNDEF__,+,225,302.709859
put,VB,__UNDEF__,+,224,301.364482
come,VBN,__UNDEF__,+,224,301.364482
hard,JJ,__UNDEF__,+,223,300.019104
keep,VB,__UNDEF__,+,223,300.019104
tried,VBD,__UNDEF__,+,222,298.673727
suddenly,RB,__UNDEF__,+,221,297.32835
dark,JJ,__UNDEF__,+,221,297.32835
myself,PRP,__UNDEF__,+,220,295.982973
Why,WRB,__UNDEF__,+,220,295.982973
all,RB,__UNDEF__,+,218,293.292219
others,NNS,__UNDEF__,+,218,293.292219
ground,NN,__UNDEF__,+,218,293.292219
How,WRB,__UNDEF__,+,217,291.946841
world,NN,__UNDEF__,+,217,291.946841
having,VBG,__UNDEF__,+,215,289.256087
together,RB,__UNDEF__,+,213,286.565333
ask,VB,__UNDEF__,+,212,285.219956
yet,RB,__UNDEF__,+,212,285.219956
themselves,PRP,__UNDEF__,+,211,283.874579
say,VBP,__UNDEF__,+,211,283.874579
girl,NN,__UNDEF__,+,210,282.529201
best,JJS,__UNDEF__,+,210,282.529201
coming,VBG,__UNDEF__,+,208,279.838447
taken,VBN,__UNDEF__,+,206,277.147693
several,DT,__UNDEF__,+,205,275.802316
poor,JJ,__UNDEF__,+,205,275.802316
sort,NN,__UNDEF__,+,204,274.456939
sitting,VBG,__UNDEF__,+,204,274.456939
talk,VB,__UNDEF__,+,204,274.456939
left,VBD,__UNDEF__,+,203,273.111561
floor,NN,__UNDEF__,+,203,273.111561
one,NN,__UNDEF__,+,202,271.766184
Not,RB,__UNDEF__,+,202,271.766184
Wennerström,NP,__UNDEF__,+,201,270.420807
black,JJ,__UNDEF__,+,200,269.07543
fell,VBD,__UNDEF__,+,200,269.07543
only,JJ,__UNDEF__,+,200,269.07543
you,__UNDEF__,__UNDEF__,+,200,269.07543
heard,VBN,__UNDEF__,+,200,269.07543
high,JJ,__UNDEF__,+,198,266.384676
men,NNS,__UNDEF__,+,198,266.384676
name,NN,__UNDEF__,+,196,263.693921
walked,VBD,__UNDEF__,+,196,263.693921
office,NN,__UNDEF__,+,196,263.693921
so_that,CC,__UNDEF__,+,194,261.003167
Tommy,NP,__UNDEF__,+,194,261.003167
face,NN,__UNDEF__,+,193,259.65779
Henrik,NP,__UNDEF__,+,193,259.65779
getting,VBG,__UNDEF__,+,192,258.312413
see,VBP,__UNDEF__,+,192,258.312413
work,NN,__UNDEF__,+,192,258.312413
across,IN,__UNDEF__,+,192,258.312413
toward,IN,__UNDEF__,+,191,256.967036
while,NN,__UNDEF__,+,191,256.967036
window,NN,__UNDEF__,+,190,255.621658
rather,RB,__UNDEF__,+,189,254.276281
kitchen,NN,__UNDEF__,+,189,254.276281
trees,NNS,__UNDEF__,+,189,254.276281
matter,NN,__UNDEF__,+,189,254.276281
that,__UNDEF__,__UNDEF__,+,188,252.930904
whether,IN,__UNDEF__,+,187,251.585527
idea,NN,__UNDEF__,+,187,251.585527
want,VB,__UNDEF__,+,187,251.585527
along,IN,__UNDEF__,+,186,250.24015
more,DT,__UNDEF__,+,185,248.894773
Annika,NP,__UNDEF__,+,185,248.894773
light,NN,__UNDEF__,+,185,248.894773
fact,NN,__UNDEF__,+,185,248.894773
cried,VBD,__UNDEF__,+,185,248.894773
Piglet,NP,__UNDEF__,+,184,247.549396
prince,NN,__UNDEF__,+,184,247.549396
